iter	Passed	Remaining
979	5329	108
980	5334	103
981	5339	97
982	5345	92
983	5350	86
984	5355	81
985	5360	76
986	5365	70
987	5370	65
988	5374	59
989	5379	54
990	5384	48
991	5389	43
992	5394	38
993	5399	32
994	5404	27
995	5409	21
996	5413	16
997	5418	10
998	5423	5
999	5428	0
